Gene	imprinted	Consistent_with_imprinted	biallelic	Consistent_with_biallelic	Ambiguous	Total_tissues_with_data	Imprinting_Supported	Biallelic_Supported	Percent_Imprinted
CPA4	2	1	8	4	2	17	3	12	0.2
CST1	1	2	0	3	0	6	3	3	0.5
DIRAS3	2	15	0	7	3	27	17	7	0.708333333
DLK1	7	3	0	1	1	12	10	1	0.909090909
FAM50B	11	25	0	1	0	37	36	1	0.972972973
GRB10	1	0	28	3	1	33	1	31	0.03125
H19	30	4	0	1	0	35	34	1	0.971428571
IGF2-AS	1	7	0	4	0	12	8	4	0.666666667
IGF2	21	4	3	2	3	33	25	5	0.833333333
INPP5F_V2	3	0	23	10	0	36	3	33	0.083333333
KCNQ1	10	4	13	3	6	36	14	16	0.466666667
KIF25	1	0	0	7	0	8	1	7	0.125
L3MBTL1	20	6	0	1	4	31	26	1	0.962962963
LPAR6	3	0	6	25	0	34	3	31	0.088235294
MAGEL2	1	5	0	1	0	7	6	1	0.857142857
MAGI2	2	1	20	9	0	32	3	29	0.09375
MEG3	30	3	0	0	0	33	33	0	1
MEG8	4	7	0	0	0	11	11	0	1
MEG9	5	20	0	0	2	27	25	0	1
MEST	7	12	2	8	4	33	19	10	0.655172414
NAP1L5	19	14	0	0	0	33	33	0	1
NDN	4	25	0	0	0	29	29	0	1
NTM	1	0	11	11	0	23	1	22	0.043478261
PEG10	13	13	0	1	3	30	26	1	0.962962963
PEG3	24	7	0	1	0	32	31	1	0.96875
PLAGL1	28	3	3	0	0	34	31	3	0.911764706
PPIEL	4	20	1	3	7	35	24	4	0.857142857
PRSS50	1	3	2	16	0	22	4	18	0.181818182
PWRN1	3	6	0	1	0	10	9	1	0.9
RP11_7F17.7	1	4	2	2	2	11	5	4	0.555555556
SGK2	1	8	7	4	3	23	9	11	0.45
SNHG14	29	7	0	1	0	37	36	1	0.972972973
SNRPN	31	5	0	0	1	37	36	0	1
SNURF	25	8	0	1	0	34	33	1	0.970588235
SYCE1	1	9	0	10	1	21	10	10	0.5
THEGL	1	3	1	0	0	5	4	1	0.8
UBE3A	1	1	11	18	0	31	2	29	0.064516129
UGT2B4	1	1	0	1	1	4	2	1	0.666666667
UTS2	2	2	0	11	1	16	4	11	0.266666667
ZDBF2	21	11	0	2	0	34	32	2	0.941176471
ZNF331	13	1	7	13	2	36	14	20	0.411764706
ZNF597	4	23	1	1	0	29	27	2	0.931034483
