	CellType_Guo	Week_Guo	Donor_Guo	CellID_Guo	SampleName_Guo
PGC_4W_e1_1	GC	4	D6	1	D6 01 GC
PGC_4W_e1_2	GC	4	D6	2	D6 02 GC
PGC_4W_e2_1	GC	4	D7	1	D7 01 GC
PGC_4W_e2_2	GC	4	D7	2	D7 02 GC
PGC_4W_e2_3	GC	4	D7	3	D7 03 GC
PGC_4W_e2_4	GC	4	D7	4	D7 04 GC
PGC_4W_e2_5	GC	4	D7	5	D7 05 GC
PGC_4W_e2_6	GC	4	D7	6	D7 06 GC
PGC_4W_e2_7	GC	4	D7	7	D7 07 GC
PGC_4W_e2_8	GC	4	D7	8	D7 08 GC
PGC_4W_e2_9	GC	4	D7	9	D7 09 GC
PGC_4W_e2_10	GC	4	D7	10	D7 10 GC
PGC_8W_e1_1	GC	8	D8	1	D8 01 GC
PGC_8W_e1_2	GC	8	D8	2	D8 02 GC
PGC_8W_e1_3	GC	8	D8	3	D8 03 GC
PGC_8W_e1_4	GC	8	D8	4	D8 04 GC
PGC_8W_e1_5	GC	8	D8	5	D8 05 GC
PGC_8W_e1_6	GC	8	D8	6	D8 06 GC
PGC_8W_e1_7	GC	8	D8	7	D8 07 GC
PGC_8W_e1_8	GC	8	D8	8	D8 08 GC
PGC_8W_e1_9	GC	8	D8	9	D8 09 GC
PGC_8W_e1_10	GC	8	D8	10	D8 10 GC
PGC_8W_e1_11	GC	8	D8	11	D8 11 GC
PGC_8W_e1_12	GC	8	D8	12	D8 12 GC
PGC_8W_e1_13	GC	8	D8	13	D8 13 GC
PGC_8W_e1_14	GC	8	D8	14	D8 14 GC
PGC_8W_e1_15	GC	8	D8	15	D8 15 GC
PGC_8W_e1_16	GC	8	D8	16	D8 16 GC
PGC_8W_e1_17	GC	8	D8	17	D8 17 GC
PGC_8W_e1_18	GC	8	D8	18	D8 18 GC
PGC_10W_e2_1	GC	10	D9	1	D9 01 GC
PGC_10W_e2_2	GC	10	D9	2	D9 02 GC
PGC_10W_e2_3	GC	10	D9	3	D9 03 GC
PGC_10W_e2_4	GC	10	D9	4	D9 04 GC
PGC_10W_e2_5	GC	10	D9	5	D9 05 GC
PGC_10W_e2_6	GC	10	D9	6	D9 06 GC
PGC_10W_e2_7	GC	10	D9	7	D9 07 GC
PGC_10W_e2_8	GC	10	D9	8	D9 08 GC
PGC_10W_e2_9	GC	10	D9	9	D9 09 GC
PGC_10W_e2_10	GC	10	D9	10	D9 10 GC
PGC_10W_e2_11	GC	10	D9	11	D9 11 GC
PGC_10W_e2_12	GC	10	D9	12	D9 12 GC
PGC_10W_e2_13	GC	10	D9	13	D9 13 GC
PGC_11W_e3_1	GC	11	D10	1	D10 01 GC
PGC_11W_e3_2	GC	11	D10	2	D10 02 GC
PGC_11W_e3_3	GC	11	D10	3	D10 03 GC
PGC_11W_e3_4	GC	11	D10	4	D10 04 GC
PGC_11W_e3_5	GC	11	D10	5	D10 05 GC
PGC_11W_e3_6	GC	11	D10	6	D10 06 GC
PGC_11W_e3_7	GC	11	D10	7	D10 07 GC
PGC_11W_e3_8	GC	11	D10	8	D10 08 GC
PGC_11W_e3_9	GC	11	D10	9	D10 09 GC
PGC_11W_e3_10	GC	11	D10	10	D10 10 GC
PGC_17W_e1_1	GC	17	D11	1	D11 01 GC
PGC_17W_e1_2	GC	17	D11	2	D11 02 GC
PGC_17W_e1_3	GC	17	D11	3	D11 03 GC
PGC_17W_e1_4	GC	17	D11	4	D11 04 GC
PGC_17W_e1_5	GC	17	D11	5	D11 05 GC
PGC_17W_e1_6	GC	17	D11	6	D11 06 GC
PGC_17W_e1_7	GC	17	D11	7	D11 07 GC
PGC_17W_e1_8	GC	17	D11	8	D11 08 GC
PGC_17W_e1_9	GC	17	D11	9	D11 09 GC
PGC_17W_e1_10	GC	17	D11	10	D11 10 GC
PGC_17W_e1_11	GC	17	D11	11	D11 11 GC
PGC_17W_e1_12	GC	17	D11	12	D11 12 GC
PGC_17W_e1_13	GC	17	D11	13	D11 13 GC
PGC_17W_e1_14	GC	17	D11	14	D11 14 GC
PGC_17W_e1_15	GC	17	D11	15	D11 15 GC
PGC_17W_e1_16	GC	17	D11	16	D11 16 GC
PGC_17W_e1_17	GC	17	D11	17	D11 17 GC
PGC_17W_e1_18	GC	17	D11	18	D11 18 GC
PGC_17W_e1_19	GC	17	D11	19	D11 19 GC
PGC_17W_e1_20	GC	17	D11	20	D11 20 GC
PGC_17W_e1_21	GC	17	D11	21	D11 21 GC
PGC_17W_e1_22	GC	17	D11	22	D11 22 GC
PGC_17W_e1_23	GC	17	D11	23	D11 23 GC
PGC_17W_e1_24	GC	17	D11	24	D11 24 GC
PGC_17W_e1_25	GC	17	D11	25	D11 25 GC
PGC_17W_e1_26	GC	17	D11	26	D11 26 GC
PGC_17W_e1_27	GC	17	D11	27	D11 27 GC
PGC_17W_e1_28	GC	17	D11	28	D11 28 GC
PGC_17W_e1_29	GC	17	D11	29	D11 29 GC
PGC_17W_e1_30	GC	17	D11	30	D11 30 GC
PGC_17W_e1_31	GC	17	D11	31	D11 31 GC
Soma_4W_e2_1	Soma	4	D7	1	D7 01 Soma
Soma_4W_e2_2	Soma	4	D7	2	D7 02 Soma
Soma_4W_e2_3	Soma	4	D7	3	D7 03 Soma
Soma_4W_e2_4	Soma	4	D7	4	D7 04 Soma
Soma_4W_e2_5	Soma	4	D7	5	D7 05 Soma
Soma_4W_e2_6	Soma	4	D7	6	D7 06 Soma
Soma_8W_e1_1	Soma	8	D8	1	D8 01 Soma
Soma_8W_e1_2	Soma	8	D8	2	D8 02 Soma
Soma_8W_e1_3	Soma	8	D8	3	D8 03 Soma
Soma_8W_e1_4	Soma	8	D8	4	D8 04 Soma
Soma_8W_e1_5	Soma	8	D8	5	D8 05 Soma
Soma_8W_e1_6	Soma	8	D8	6	D8 06 Soma
Soma_8W_e1_7	Soma	8	D8	7	D8 07 Soma
Soma_8W_e1_8	Soma	8	D8	8	D8 08 Soma
Soma_8W_e1_9	Soma	8	D8	9	D8 09 Soma
Soma_8W_e1_10	Soma	8	D8	10	D8 10 Soma
Soma_10W_e2_1	Soma	10	D9	1	D9 01 Soma
Soma_10W_e2_2	Soma	10	D9	2	D9 02 Soma
Soma_10W_e2_3	Soma	10	D9	3	D9 03 Soma
Soma_11W_e3_1	Soma	11	D10	1	D10 01 Soma
Soma_11W_e3_2	Soma	11	D10	2	D10 02 Soma
Soma_11W_e3_3	Soma	11	D10	3	D10 03 Soma
Soma_11W_e3_4	Soma	11	D10	4	D10 04 Soma
Soma_11W_e3_5	Soma	11	D10	5	D10 05 Soma
Soma_11W_e3_6	Soma	11	D10	6	D10 06 Soma
Soma_11W_e3_7	Soma	11	D10	7	D10 07 Soma
Soma_11W_e3_8	Soma	11	D10	8	D10 08 Soma
Soma_11W_e3_9	Soma	11	D10	9	D10 09 Soma
Soma_11W_e3_10	Soma	11	D10	10	D10 10 Soma
Soma_17W_e1_1	Soma	17	D11	1	D11 01 Soma
Soma_17W_e1_2	Soma	17	D11	2	D11 02 Soma
Soma_17W_e1_3	Soma	17	D11	3	D11 03 Soma
Soma_17W_e1_4	Soma	17	D11	4	D11 04 Soma
Soma_17W_e1_5	Soma	17	D11	5	D11 05 Soma
Soma_17W_e1_6	Soma	17	D11	6	D11 06 Soma
Soma_17W_e1_7	Soma	17	D11	7	D11 07 Soma
Soma_17W_e1_8	Soma	17	D11	8	D11 08 Soma
Soma_17W_e1_9	Soma	17	D11	9	D11 09 Soma
