Gene_Confirmed	Group
ALPL	Pluripotency
KLF10	Pluripotency
KLF2	Pluripotency
KLF4	Pluripotency
LIN28A	Pluripotency
LIN7B	Pluripotency
MSH2	Pluripotency
NANOG	Pluripotency
PDPN	Pluripotency
POU5F1	Pluripotency
PRDM14	Pluripotency
RAF1	Pluripotency
SALL4	Pluripotency
SOX2	Pluripotency
SOX4	Pluripotency
TCL1A	Pluripotency
TFCP2L1	Pluripotency
THY1	Pluripotency
CD38	Early
DMRT1	Early
DND1	Early
DPPA3	Early
DPPA4	Early
IFITM1	Early
KIT	Early
MAGEB2	Early
NANOS3	Early
PPAP2A	Early
PRAME	Early
PRDM1	Early
PRMT5	Early
SOX17	Early
TFAP2C	Early
UTF1	Early
DAZL	Late
DDX4	Late
MAEL	Late
PIWIL1	Late
PIWIL2	Late
TEX14	Late
TEX15	Late
ASZ1	Meiotic
DMC1	Meiotic
DMRTC2	Meiotic
FBXO43	Meiotic
HORMAD2	Meiotic
MEIOB	Meiotic
MLH1	Meiotic
REC8	Meiotic
SPDYA	Meiotic
SPO11	Meiotic
SYCP1	Meiotic
SYCP2	Meiotic
SYCP3	Meiotic
TDRD1	Meiotic
TDRD12	Meiotic
TDRD5	Meiotic
TDRD7	Meiotic
TDRD9	Meiotic
DNMT1	Epigenetic
DNMT3A	Epigenetic
DNMT3B	Epigenetic
DNMT3L	Epigenetic
EED	Epigenetic
EZH2	Epigenetic
TET1	Epigenetic
TET3	Epigenetic
CYP11A1	Soma
CYP11B1	Soma
CYP17A1	Soma
WT1	Soma
SULT2A1	Soma
