Genes	ICR_Membership_All
H19	ICR_H19_chr11p15
IGF2	ICR_H19_chr11p15
IGF2-AS	ICR_H19_chr11p15
INS	ICR_H19_chr11p15
KCNQ1	ICR_Kcnq1_chr11p15
KCNQ1OT1	ICR_Kcnq1_chr11p15
CDKN1C	ICR_Kcnq1_chr11p15
PHLDA2	ICR_Kcnq1_chr11p15
DLK1	ICR_Meg3_Dlk_chr14q32
MEG3	ICR_Meg3_Dlk_chr14q32
RTL1	ICR_Meg3_Dlk_chr14q32
MEG8	ICR_Meg3_Dlk_chr14q32
SNORD111	ICR_Meg3_Dlk_chr14q32
SNORD112	ICR_Meg3_Dlk_chr14q32
SNORD113	ICR_Meg3_Dlk_chr14q32
SNORD114	ICR_Meg3_Dlk_chr14q32
MIRG	ICR_Meg3_Dlk_chr14q32
DIO3	ICR_Meg3_Dlk_chr14q32
MKRN3	ICR_snurf_snrpn_chr15q11-13
MAGEL2	ICR_snurf_snrpn_chr15q11-13
NDN	ICR_snurf_snrpn_chr15q11-13
PWRN1	ICR_snurf_snrpn_chr15q11-13
C15orf2	ICR_snurf_snrpn_chr15q11-13
SNRPN	ICR_snurf_snrpn_chr15q11-13
SNURF	ICR_snurf_snrpn_chr15q11-13
IPW	ICR_snurf_snrpn_chr15q11-13
USP29	ICR_Peg3_chr19q13
ZNF264	ICR_Peg3_chr19q13
PEG3	ICR_Peg3_chr19q13
PEG3-AS1	ICR_Peg3_chr19q13
ZIM1	ICR_Peg3_chr19q13
ZIM2	ICR_Peg3_chr19q13
ZIM3	ICR_Peg3_chr19q13
