Human_Genename	Human_GeneID	Mouse_GeneID	Mouse_Genename	Imprinted_species	Human_notes	Imprinting_status_Baran
AMPD3	ENSG00000133805	ENSMUSG00000005686	Ampd3	human	from otago pdf	no data
ANO1	ENSG00000131620	ENSMUSG00000031075	Ano1	"human, mouse"	provisional	consistent with imprinted
ASB4	ENSG00000005981	ENSMUSG00000042607	Asb4	"human, mouse"	from otago pdf	biallelic
ASCL2	ENSG00000183734	ENSMUSG00000009248	Ascl2	"human, mouse"	from otago pdf	biallelic
ATP10A	ENSG00000206190	ENSMUSG00000025324	Atp10a	human	from otago pdf	biallelic
AXL	ENSG00000167601	ENSMUSG00000002602	Axl	"human, mouse"	provisional	biallelic
BLCAP	ENSG00000166619	ENSMUSG00000067787	Blcap	"human, mouse"	-	biallelic
CALCR	ENSG00000004948	ENSMUSG00000023964	Calcr	"human, mouse"	-	consistent with imprinted
CD81	ENSG00000110651	ENSMUSG00000037706	Cd81	"human, mouse"	from otago pdf	biallelic
CDKN1C	ENSG00000129757	ENSMUSG00000037664	Cdkn1c	"human, mouse"	-	consistent with imprinted
COMMD1	ENSG00000173163	"ENSMUSG00000098650,ENSMUSG00000051355"	"Gm28048,Commd1"	"human, mouse"	from otago pdf	biallelic
COPG2	"ENSG00000158623,ENSG00000266779"	ENSMUSG00000025607	Copg2	"human, mouse"	-	consistent with imprinted
COPG2IT1	ENSG00000270561	-	-	human	-	no data
CPA4	ENSG00000128510	ENSMUSG00000039070	Cpa4	human	-	imprinted
DCN	ENSG00000011465	ENSMUSG00000019929	Dcn	human	from otago pdf	consistent with imprinted
DDC	ENSG00000132437	ENSMUSG00000020182	Ddc	"human, mouse"	from otago pdf	biallelic
DGCR6	ENSG00000183628	ENSMUSG00000003531	Dgcr6	human	from geneimprint	biallelic
DGCR6L	ENSG00000128185	ENSMUSG00000003531	Dgcr6	human	from geneimprint	biallelic
DHCR7	ENSG00000172893	ENSMUSG00000058454	Dhcr7	human	from otago pdf	no data
DIO3	ENSG00000197406	ENSMUSG00000075707	Dio3	"human, mouse"	from otago pdf	consistent with imprinted
DIRAS3	ENSG00000162595	-	-	human	provisional	imprinted
DLGAP2	ENSG00000198010	ENSMUSG00000047495	Dlgap2	human	-	consistent with imprinted
DLK1	ENSG00000185559	ENSMUSG00000040856	Dlk1	"human, mouse"	-	imprinted
DLX5	ENSG00000105880	ENSMUSG00000029755	Dlx5	human	from geneimprint	consistent with imprinted
FAM50B	ENSG00000145945	ENSMUSG00000038246	Fam50b	human	-	imprinted
GABRA5	ENSG00000186297	ENSMUSG00000055078	Gabra5	human	from otago pdf	consistent with imprinted
GABRB3	ENSG00000166206	ENSMUSG00000033676	Gabrb3	human	from otago pdf	biallelic
GABRG3	ENSG00000182256	ENSMUSG00000055026	Gabrg3	human	from otago pdf	consistent with imprinted
GATM	ENSG00000171766	ENSMUSG00000027199	Gatm	human	from otago pdf	biallelic
GLIS3	ENSG00000107249	ENSMUSG00000052942	Glis3	human	from geneimprint	consistent with imprinted
GNAS	ENSG00000087460	ENSMUSG00000027523	Gnas	"human, mouse"	from otago pdf	biallelic
GNAS-AS1	ENSG00000235590	-	-	human	from geneimprint	consistent with imprinted
GPR1	ENSG00000183671	ENSMUSG00000046856	Gpr1	"human, mouse"	provisional	consistent with imprinted
GRB10	ENSG00000106070	ENSMUSG00000020176	Grb10	"human, mouse"	-	imprinted
H19	ENSG00000130600	ENSMUSG00000000031	H19	"human, mouse"	-	imprinted
HM13	ENSG00000101294	ENSMUSG00000019188	H13	"human, mouse"	from otago pdf	failed validation
HTR2A	ENSG00000102468	ENSMUSG00000034997	Htr2a	"human, mouse"	from otago pdf	biallelic
HYMAI	ENSG00000276680	-	-	human	-	no data
IGF2	ENSG00000167244	ENSMUSG00000048583	Igf2	"human, mouse"	-	imprinted
IGF2-AS	ENSG00000099869	-	-	human	-	imprinted
IGF2R	ENSG00000197081	ENSMUSG00000023830	Igf2r	"human, mouse"	from otago pdf	biallelic
IMPACT	ENSG00000154059	ENSMUSG00000024423	Impact	"human, mouse"	from otago pdf	no data
INPP5F_V2	ENSG00000198825	ENSMUSG00000042105	Inpp5f	human	-	imprinted
INS	ENSG00000254647	"ENSMUSG00000035804,ENSMUSG00000000215"	"Ins1,Ins2"	"human, mouse"	-	biallelic
KCNK9	ENSG00000169427	ENSMUSG00000036760	Kcnk9	"human, mouse"	-	consistent with biallelic
KCNQ1	ENSG00000053918	ENSMUSG00000009545	Kcnq1	"human, mouse"	-	imprinted
KCNQ1DN	ENSG00000237941	-	-	human	-	consistent with biallelic
KCNQ1OT1	ENSG00000269821	ENSMUSG00000101609	Kcnq1ot1	"human, mouse"	-	no data
KLF14	"ENSG00000174595, ENSG00000266265"	ENSMUSG00000073209	Klf14	"human, mouse"	-	consistent with imprinted
L3MBTL1	ENSG00000185513	ENSMUSG00000035576	L3mbtl1	human	-	imprinted
LIN28B	ENSG00000187772	ENSMUSG00000063804	Lin28b	human	provisional	consistent with biallelic
LRRTM1	ENSG00000162951	ENSMUSG00000060780	Lrrtm1	human	-	consistent with imprinted
MAGEL2	ENSG00000254585	ENSMUSG00000056972	Magel2	"human, mouse"	-	imprinted
MAGI2	ENSG00000187391	ENSMUSG00000040003	Magi2	human	from geneimprint	imprinted
MCTS1	ENSG00000232119	"ENSMUSG00000042814,ENSMUSG00000000355"	"Mcts2,Mcts1"	"human, mouse"	-	no data
MCTS2P	ENSG00000101898	-	-	human	from geneimprint	no data
MEG3	ENSG00000214548	ENSMUSG00000021268	Meg3	"human, mouse"	-	imprinted
MEG8	ENSG00000258399	ENSMUSG00000097451	Rian	"human, mouse"	-	imprinted
MEST	"ENSG00000106484, ENSG00000264872"	ENSMUSG00000051855	Mest	"human, mouse"	-	imprinted
MESTIT1	ENSG00000278055	-	-	human	-	no data
MIMT1	ENSG00000268654	ENSMUSG00000051527	Usp29	"human, mouse"	-	no data
MIR134	ENSG00000207993	ENSMUSG00000065426	Mir134	"human, mouse"	-	small RNA gene
MIR184	ENSG00000207695	ENSMUSG00000065596	Mir184	"human, mouse"	from otago pdf	small RNA gene
MIR296	"ENSG00000268649, ENSG00000276373, ENSG00000216031, ENSG00000207950"	ENSMUSG00000065521	Mir296	"human, mouse"	-	small RNA gene
MIR335	"ENSG00000199043, ENSG00000263487"	ENSMUSG00000065501	Mir335	"human, mouse"	from otago pdf	small RNA gene
MIR371A	ENSG00000199031	"ENSMUSG00000078041,ENSMUSG00000078035,ENSMUSG00000077815"	"Mir292,Mir293,Mir290a"	human	from geneimprint	small RNA gene
MIR483	ENSG00000207805	ENSMUSG00000070140	Mir483	human	-	small RNA gene
MIR675	"ENSG00000211502, ENSG00000278246"	ENSMUSG00000076275	Mir675	"human, mouse"	-	small RNA gene
MKRN3	ENSG00000179455	ENSMUSG00000070527	Mkrn3	"human, mouse"	-	consistent with imprinted
NAA60	ENSG00000122390	ENSMUSG00000005982	Naa60	human	-	biallelic
NAP1L4	"ENSG00000205531, ENSG00000273562"	ENSMUSG00000059119	Nap1l4	human	from otago pdf	biallelic
NAP1L5	ENSG00000177432	ENSMUSG00000055430	Nap1l5	"human, mouse"	-	imprinted
NDN	ENSG00000182636	ENSMUSG00000033585	Ndn	"human, mouse"	-	imprinted
NLRP2	ENSG00000022556	ENSMUSG00000035177	Nlrp2	human	from geneimprint	failed validation
NNAT	ENSG00000053438	ENSMUSG00000067786	Nnat	"human, mouse"	-	consistent with imprinted
NPAP1	ENSG00000185823	-	-	human	-	consistent with imprinted
NTM	ENSG00000182667	ENSMUSG00000059974	Ntm	human	from geneimprint	imprinted
OSBPL5	ENSG00000021762	ENSMUSG00000037606	Osbpl5	human	from otago pdf	biallelic
PEG10	ENSG00000242265	ENSMUSG00000092035	Peg10	"human, mouse"	-	imprinted
PEG3	ENSG00000198300	ENSMUSG00000002265	Peg3	"human, mouse"	-	imprinted
PHACTR2	ENSG00000112419	ENSMUSG00000062866	Phactr2	"human, mouse"	-	biallelic
PHLDA2	"ENSG00000181649,ENSG00000274538"	ENSMUSG00000010760	Phlda2	"human, mouse"	-	biallelic
PLAGL1	ENSG00000118495	ENSMUSG00000019817	Plagl1	"human, mouse"	-	imprinted
PON2	ENSG00000105854	ENSMUSG00000032667	Pon2	human	from otago pdf	no data
PON3	ENSG00000105852	ENSMUSG00000029759	Pon3	human	from otago pdf	consistent with imprinted
PPP1R9A	ENSG00000158528	ENSMUSG00000032827	Ppp1r9a	"human, mouse"	-	biallelic
PRIM2	ENSG00000146143	ENSMUSG00000026134	Prim2	human	from otago pdf	no data
PWRN1	ENSG00000259905	-	-	human	-	imprinted
RASGRF1	ENSG00000058335	ENSMUSG00000032356	Rasgrf1	"human, mouse"	from otago pdf	biallelic
RB1	ENSG00000139687	ENSMUSG00000022105	Rb1	human	-	consistent with imprinted
RBP5	ENSG00000139194	-	-	human	from geneimprint	consistent with imprinted
RNU5D-1	ENSG00000200169	-	-	human	from geneimprint	consistent with biallelic
RTL1	ENSG00000254656	"ENSMUSG00000098639,ENSMUSG00000085925"	"Rtl1,Rtl1"	"human, mouse"	-	consistent with imprinted
SDHD	ENSG00000204370	ENSMUSG00000000171	Sdhd	human	from otago pdf	biallelic
SFMBT2	ENSG00000198879	ENSMUSG00000061186	Sfmbt2	"human, mouse"	from otago pdf	biallelic
SGCE	ENSG00000127990	ENSMUSG00000004631	Sgce	"human, mouse"	-	consistent with imprinted
SGK2	ENSG00000101049	ENSMUSG00000017868	Sgk2	human	-	imprinted
SLC22A18	ENSG00000110628	ENSMUSG00000000154	Slc22a18	"human, mouse"	-	no data
SLC22A18AS	ENSG00000254827	-	-	human	-	biallelic
SLC22A2	ENSG00000112499	ENSMUSG00000040966	Slc22a2	"human, mouse"	-	biallelic
SLC22A3	ENSG00000146477	ENSMUSG00000023828	Slc22a3	"human, mouse"	-	biallelic
SLC38A4	ENSG00000139209	ENSMUSG00000022464	Slc38a4	"human, mouse"	from otago pdf	biallelic
